Dept,sales_per_$markdown,avg_markdown,avg_sales,n,recommendation
72,1.235992493985198,18645.766964618248,51467.722709497204,2148,Maintain / expand markdown
92,0.8406497374705598,17574.28899346405,79763.12723747276,2295,Keep but monitor ROI
95,0.5994343283409693,17574.28899346405,70286.57809150328,2295,Keep but monitor ROI
2,0.5504364220624053,17574.28899346405,44304.079058823525,2295,Keep but monitor ROI
40,0.49538425672445524,17574.28899346405,45864.895777777776,2295,Keep but monitor ROI
5,0.47905327608109727,17574.28899346405,20901.768039215687,2295,Keep but monitor ROI
90,0.457523472376953,17574.28899346405,47045.25357298475,2295,Keep but monitor ROI
7,0.45154822912539,17574.28899346405,25699.977960784316,2295,Keep but monitor ROI
91,0.37583443764505686,17574.28899346405,34092.813411764706,2295,Keep but monitor ROI
13,0.3605915095017317,17574.28899346405,30462.511938997824,2295,Keep but monitor ROI
8,0.35661931283231546,17574.28899346405,30606.64695424837,2295,Keep but monitor ROI
4,0.3022777187436821,17574.28899346405,26494.935315904142,2295,Keep but monitor ROI
79,0.2943807632692361,17574.28899346405,21998.519089324618,2295,Keep but monitor ROI
14,0.2827685790972971,17574.28899346405,15469.82519825708,2295,Keep but monitor ROI
46,0.26316060788074525,17574.28899346405,20612.127285403054,2295,Keep but monitor ROI
74,0.2502385738054162,17574.28899346405,13737.62025272331,2295,Keep but monitor ROI
23,0.24755930939761547,18752.31850445382,23884.02555086732,2133,Keep but monitor ROI
10,0.24606272387727995,17574.28899346405,18603.015050108934,2295,Keep but monitor ROI
94,0.23247429546351428,17742.22699432892,32003.183227788282,2116,Keep but monitor ROI
93,0.21062820716902708,18245.18328197946,27608.94265639589,2142,Keep but monitor ROI
87,0.2062553359244138,17595.726199825476,15105.717251308899,2292,Keep but monitor ROI
38,0.20261349260864936,17574.28899346405,62276.500392156864,2295,Keep but monitor ROI
18,0.19999170631220192,19011.3503220524,8387.209939956332,1832,Keep but monitor ROI
9,0.1912376428853673,17694.738277680142,20666.310597539545,2276,Keep but monitor ROI
55,0.18229885057792455,20151.207894469815,10484.39725012684,1971,Keep but monitor ROI
82,0.17953228681864095,17574.28899346405,16941.369838779956,2295,Keep but monitor ROI
1,0.17583826019825352,17574.28899346405,19486.5188627451,2295,Keep but monitor ROI
3,0.17299440321247636,17574.28899346405,11960.235860566449,2295,Keep but monitor ROI
11,0.16701079246969963,17574.28899346405,14524.60374291939,2295,Keep but monitor ROI
17,0.16158631231759818,17715.959986807386,10168.289406332453,2274,Keep but monitor ROI
22,0.1446845468029274,19192.976862085536,10470.0527006247,2081,Keep but monitor ROI
81,0.13193250646964075,17574.28899346405,15600.127581699346,2295,Keep but monitor ROI
97,0.11538164999267846,17755.238213012475,14358.15665775401,2244,Keep but monitor ROI
25,0.10711742683067017,17961.39292987941,9024.795645377402,2239,Keep but monitor ROI
67,0.10044803938258134,17574.28899346405,7645.959490196079,2295,Keep but monitor ROI
96,0.09623452232873905,16447.009168959823,15353.224050632913,1817,Keep but monitor ROI
32,0.08551147162454546,18611.263559479554,6820.608889405204,2152,Keep but monitor ROI
49,0.08391160643882022,19517.96498972251,6742.396063720453,1946,Keep but monitor ROI
26,0.08358882665971651,19347.464949053858,7472.627734109657,2061,Keep but monitor ROI
80,0.08045195638320583,18160.94728169014,12109.378774647887,2130,Keep but monitor ROI
20,0.07543095512625776,18333.354367291,5389.572836911832,2189,Keep but monitor ROI
6,0.07297034559143156,19103.15518678161,4139.05704980843,2088,Keep but monitor ROI
71,0.07151811485406649,20906.451627906976,5735.72322410148,1892,Keep but monitor ROI
34,0.06974942162391486,20932.925357331922,15774.513880359978,1889,Keep but monitor ROI
42,0.06546511041192007,17630.98341932663,5346.147472671622,2287,Keep but monitor ROI
21,0.0630497998502076,17574.28899346405,4813.821816993464,2295,Keep but monitor ROI
98,0.059344830871162435,17999.511013419713,6577.596918093475,2161,Keep but monitor ROI
24,0.053889620597288024,20398.97899691358,6375.287968106995,1944,Keep but monitor ROI
33,0.05177493734777693,20534.57297927461,6449.272300518135,1930,Keep but monitor ROI
29,0.051024498846364064,20892.795346011622,5795.274590596937,1893,Keep but monitor ROI
12,0.03370853311365196,17581.49170444638,4077.9020401046205,2294,Keep but monitor ROI
44,0.03175563613139292,20301.97430399181,4844.975087001024,1954,Keep but monitor ROI
83,0.03171720234733849,18238.609384041065,3293.8907979468036,2143,Keep but monitor ROI
52,0.0296401331946425,18031.09804484305,1905.4404484304935,2230,Keep but monitor ROI
31,0.026401321676164408,18350.56386550778,2226.8651326623967,2186,Keep but monitor ROI
16,0.025474483230925132,17577.3942452007,13352.056535776615,2292,Keep but monitor ROI
58,0.022057124000562613,22806.09571893299,3792.20619388419,1537,Keep but monitor ROI
27,0.020325282647780517,19321.23111488124,1634.6591904992729,2063,Keep but monitor ROI
30,0.019422141032797192,20953.834144144144,3820.375839957605,1887,Keep but monitor ROI
41,0.014712166463534678,20523.08067814293,2022.1447104851331,1917,Keep but monitor ROI
85,0.013669986760107276,18640.815323406234,2179.2718752908327,2149,Keep but monitor ROI
35,0.012122851467206736,20963.750683624803,2897.7486963434017,1887,Keep but monitor ROI
59,0.010577035794250565,19140.759649382715,537.0043358024692,2025,Keep but monitor ROI
99,0.009444146597961587,27272.619020537124,514.6294786729858,633,Keep but monitor ROI
28,0.00814898194691554,18467.355122063564,590.787277752188,2171,Keep but monitor ROI
48,0.006738310436803221,20460.01659340659,1725.6811538461536,728,Keep but monitor ROI
19,0.006132012029005183,20882.864876712327,1683.8692602739727,1460,Keep but monitor ROI
37,0.0056062093863492885,23894.68508714597,3075.600468409586,918,Keep but monitor ROI
36,0.005080730305809962,20978.941753453775,1998.5189160467587,1882,Keep but monitor ROI
60,0.0011923897225586807,17634.100800524935,337.83976815398074,2286,Keep but monitor ROI
54,0.00017608472367109838,22425.075994568906,48.906727766463,1473,Keep but monitor ROI
45,-3.425875229083619e-05,23641.211396396397,24.660878378378378,444,Reduce / stop markdown
50,-0.004214781135646574,25010.260695187168,2669.6938680926914,561,Reduce / stop markdown
56,-0.01833387478871233,18496.151969345097,3619.0338875987,2153,Reduce / stop markdown
