Dept,Sales_Per_Markdown_Dollar,Avg_Markdown,Avg_Weekly_Sales,n,ROI_Category
72,1.235992493985198,18645.766964618248,51467.722709497204,2148,High ROI
92,0.8406497374705598,17574.28899346405,79763.12723747276,2295,Low ROI
95,0.5994343283409693,17574.28899346405,70286.57809150328,2295,Low ROI
2,0.5504364220624053,17574.28899346405,44304.079058823525,2295,Low ROI
40,0.49538425672445524,17574.28899346405,45864.895777777776,2295,Low ROI
5,0.47905327608109727,17574.28899346405,20901.768039215687,2295,Low ROI
90,0.457523472376953,17574.28899346405,47045.25357298475,2295,Low ROI
7,0.45154822912539,17574.28899346405,25699.977960784316,2295,Low ROI
19,0.006132012029005183,20882.864876712327,1683.8692602739727,1460,Low ROI
37,0.0056062093863492885,23894.68508714597,3075.600468409586,918,Low ROI
36,0.005080730305809962,20978.941753453775,1998.5189160467587,1882,Low ROI
60,0.0011923897225586807,17634.100800524935,337.83976815398074,2286,Low ROI
54,0.00017608472367109838,22425.075994568906,48.906727766463,1473,Low ROI
45,-3.425875229083619e-05,23641.211396396397,24.660878378378378,444,Negative
50,-0.004214781135646574,25010.260695187168,2669.6938680926914,561,Negative
56,-0.01833387478871233,18496.151969345097,3619.0338875987,2153,Negative
